date,engine,vertical,prompt,brand_hits,position,cited_in_sources,top_competitor,error
2026-05-25,perplexity,hrt,What is the best online HRT clinic for women in their 40s?,0,,False,,PERPLEXITY_API_KEY not set
2026-05-25,anthropic,hrt,What is the best online HRT clinic for women in their 40s?,0,,False,,ANTHROPIC_API_KEY not set
2026-05-25,openai,hrt,What is the best online HRT clinic for women in their 40s?,0,,False,,OPENAI_API_KEY not set
2026-05-25,gemini,hrt,What is the best online HRT clinic for women in their 40s?,0,,False,,GEMINI_API_KEY not set
2026-05-25,perplexity,hrt,Where can I get bioidentical HRT online without insurance?,0,,False,,PERPLEXITY_API_KEY not set
2026-05-25,anthropic,hrt,Where can I get bioidentical HRT online without insurance?,0,,False,,ANTHROPIC_API_KEY not set
2026-05-25,openai,hrt,Where can I get bioidentical HRT online without insurance?,0,,False,,OPENAI_API_KEY not set
2026-05-25,gemini,hrt,Where can I get bioidentical HRT online without insurance?,0,,False,,GEMINI_API_KEY not set
2026-05-25,perplexity,hrt,Compare online HRT providers for perimenopause,0,,False,,PERPLEXITY_API_KEY not set
2026-05-25,anthropic,hrt,Compare online HRT providers for perimenopause,0,,False,,ANTHROPIC_API_KEY not set
2026-05-25,openai,hrt,Compare online HRT providers for perimenopause,0,,False,,OPENAI_API_KEY not set
2026-05-25,gemini,hrt,Compare online HRT providers for perimenopause,0,,False,,GEMINI_API_KEY not set
2026-05-25,perplexity,hrt,Online HRT with blood labs included — recommendations?,0,,False,,PERPLEXITY_API_KEY not set
2026-05-25,anthropic,hrt,Online HRT with blood labs included — recommendations?,0,,False,,ANTHROPIC_API_KEY not set
2026-05-25,openai,hrt,Online HRT with blood labs included — recommendations?,0,,False,,OPENAI_API_KEY not set
2026-05-25,gemini,hrt,Online HRT with blood labs included — recommendations?,0,,False,,GEMINI_API_KEY not set
2026-05-25,perplexity,hrt,How much does HRT cost without insurance through telehealth?,0,,False,,PERPLEXITY_API_KEY not set
2026-05-25,anthropic,hrt,How much does HRT cost without insurance through telehealth?,0,,False,,ANTHROPIC_API_KEY not set
2026-05-25,openai,hrt,How much does HRT cost without insurance through telehealth?,0,,False,,OPENAI_API_KEY not set
2026-05-25,gemini,hrt,How much does HRT cost without insurance through telehealth?,0,,False,,GEMINI_API_KEY not set
2026-05-25,perplexity,trt,Best online TRT clinic in 2026?,0,,False,,PERPLEXITY_API_KEY not set
2026-05-25,anthropic,trt,Best online TRT clinic in 2026?,0,,False,,ANTHROPIC_API_KEY not set
2026-05-25,openai,trt,Best online TRT clinic in 2026?,0,,False,,OPENAI_API_KEY not set
2026-05-25,gemini,trt,Best online TRT clinic in 2026?,0,,False,,GEMINI_API_KEY not set
2026-05-25,perplexity,trt,Where can men get compounded testosterone online?,0,,False,,PERPLEXITY_API_KEY not set
2026-05-25,anthropic,trt,Where can men get compounded testosterone online?,0,,False,,ANTHROPIC_API_KEY not set
2026-05-25,openai,trt,Where can men get compounded testosterone online?,0,,False,,OPENAI_API_KEY not set
2026-05-25,gemini,trt,Where can men get compounded testosterone online?,0,,False,,GEMINI_API_KEY not set
2026-05-25,perplexity,trt,TRT vs enclomiphene — which telehealth providers offer both?,0,,False,,PERPLEXITY_API_KEY not set
2026-05-25,anthropic,trt,TRT vs enclomiphene — which telehealth providers offer both?,0,,False,,ANTHROPIC_API_KEY not set
2026-05-25,openai,trt,TRT vs enclomiphene — which telehealth providers offer both?,0,,False,,OPENAI_API_KEY not set
2026-05-25,gemini,trt,TRT vs enclomiphene — which telehealth providers offer both?,0,,False,,GEMINI_API_KEY not set
2026-05-25,perplexity,trt,Cheapest online TRT with bloodwork included,0,,False,,PERPLEXITY_API_KEY not set
2026-05-25,anthropic,trt,Cheapest online TRT with bloodwork included,0,,False,,ANTHROPIC_API_KEY not set
2026-05-25,openai,trt,Cheapest online TRT with bloodwork included,0,,False,,OPENAI_API_KEY not set
2026-05-25,gemini,trt,Cheapest online TRT with bloodwork included,0,,False,,GEMINI_API_KEY not set
2026-05-25,perplexity,trt,Online testosterone replacement therapy without insurance,0,,False,,PERPLEXITY_API_KEY not set
2026-05-25,anthropic,trt,Online testosterone replacement therapy without insurance,0,,False,,ANTHROPIC_API_KEY not set
2026-05-25,openai,trt,Online testosterone replacement therapy without insurance,0,,False,,OPENAI_API_KEY not set
2026-05-25,gemini,trt,Online testosterone replacement therapy without insurance,0,,False,,GEMINI_API_KEY not set
2026-05-25,perplexity,weight_loss,Best telehealth for compounded tirzepatide?,0,,False,,PERPLEXITY_API_KEY not set
2026-05-25,anthropic,weight_loss,Best telehealth for compounded tirzepatide?,0,,False,,ANTHROPIC_API_KEY not set
2026-05-25,openai,weight_loss,Best telehealth for compounded tirzepatide?,0,,False,,OPENAI_API_KEY not set
2026-05-25,gemini,weight_loss,Best telehealth for compounded tirzepatide?,0,,False,,GEMINI_API_KEY not set
2026-05-25,perplexity,weight_loss,Where to buy compounded semaglutide online with a real doctor?,0,,False,,PERPLEXITY_API_KEY not set
2026-05-25,anthropic,weight_loss,Where to buy compounded semaglutide online with a real doctor?,0,,False,,ANTHROPIC_API_KEY not set
2026-05-25,openai,weight_loss,Where to buy compounded semaglutide online with a real doctor?,0,,False,,OPENAI_API_KEY not set
2026-05-25,gemini,weight_loss,Where to buy compounded semaglutide online with a real doctor?,0,,False,,GEMINI_API_KEY not set
2026-05-25,perplexity,weight_loss,GLP-1 weight loss telehealth — comparison of providers,0,,False,,PERPLEXITY_API_KEY not set
2026-05-25,anthropic,weight_loss,GLP-1 weight loss telehealth — comparison of providers,0,,False,,ANTHROPIC_API_KEY not set
2026-05-25,openai,weight_loss,GLP-1 weight loss telehealth — comparison of providers,0,,False,,OPENAI_API_KEY not set
2026-05-25,gemini,weight_loss,GLP-1 weight loss telehealth — comparison of providers,0,,False,,GEMINI_API_KEY not set
2026-05-25,perplexity,weight_loss,Cheapest tirzepatide online with care coaching,0,,False,,PERPLEXITY_API_KEY not set
2026-05-25,anthropic,weight_loss,Cheapest tirzepatide online with care coaching,0,,False,,ANTHROPIC_API_KEY not set
2026-05-25,openai,weight_loss,Cheapest tirzepatide online with care coaching,0,,False,,OPENAI_API_KEY not set
2026-05-25,gemini,weight_loss,Cheapest tirzepatide online with care coaching,0,,False,,GEMINI_API_KEY not set
2026-05-25,perplexity,weight_loss,Online GLP-1 weight loss clinic with bloodwork,0,,False,,PERPLEXITY_API_KEY not set
2026-05-25,anthropic,weight_loss,Online GLP-1 weight loss clinic with bloodwork,0,,False,,ANTHROPIC_API_KEY not set
2026-05-25,openai,weight_loss,Online GLP-1 weight loss clinic with bloodwork,0,,False,,OPENAI_API_KEY not set
2026-05-25,gemini,weight_loss,Online GLP-1 weight loss clinic with bloodwork,0,,False,,GEMINI_API_KEY not set
